id,name,description
1,Pre-emergence,Spray Atrazine 2 kg or Oxyflurofen 750 ml/ha mixed in 600 liters of water as pre emergence herbicide on the 3rd day of planting
2,Post Emergence,application of glyphosate @ 1.0 lit ha-1on 45 DAP with hood+ one hand weeding on 90 DAP registered the maximum cane yield
